genre1,genre2,phantom_score,co_clustering,centroid_distance,min_distance,overlap_score,stat_similarity,n_tracks_g1,n_tracks_g2
140 - Deep Dubstep - Grime,Trap - Future Bass,0.7137208124127095,0.8846241008764193,2.962647426871422,0.0,-0.04590392031334578,0.39974557123642496,95,93
Hard Dance - Hardcore - Neo Rave,Hard Techno,0.7074604077115464,0.9293588186872112,3.291547285503651,3.2495816091244376,-0.07757668539162799,0.1707364198875299,98,96
Deep House,Jackin House,0.7073632295809976,0.8800968039334287,2.543710254440945,4.637340387266287,-0.07674524173893649,0.2815114006514789,96,97
Minimal - Deep Tech,Tech House,0.7040828953850625,0.9057594986765012,2.9578833667417954,4.011180955401926,-0.09749742208941048,0.19683852726120737,98,98
House,Jackin House,0.6941628155827985,0.9038964373447628,2.881432388818199,3.2451293144752,-0.007075394019681047,0.09321242394643932,96,97
Deep House,House,0.6898158078359493,0.8474603469392854,2.3271413453415355,4.0480344489241835,-0.05523165653529216,0.22720208761471747,96,96
Deep House,Minimal - Deep Tech,0.6890158197362147,0.8706109982860807,3.0178301185467586,4.369070238231602,-0.04635946945855296,0.23257167288781444,96,98
Organic House,Progressive House,0.6840328745803886,0.8592707110066222,2.7521221803161735,3.8024830264172973,-0.045953009829048375,0.19142558563076348,95,92
Bass House,Tech House,0.6616956958026257,0.767862309435384,2.410208631963506,4.296001629354487,-0.026056865201774526,0.36028073232712743,98,98
Bass - Club,Electro (Classic - Detroit - Modern),0.6462662036580715,0.8043972665231167,3.308198038210583,5.751354045092213,-0.05329464238717607,0.1864261118066895,97,96
Deep House,Tech House,0.6458733773717934,0.7805950455694188,2.6794497372615713,3.6313192484938446,-0.08016842027992355,0.18972526984957258,96,98
Deep House,Indie Dance,0.63478558798436,0.7531818621781841,2.7878244635320892,4.774565144220174,-0.06797438449554494,0.23596503897836438,96,96
Mainstage,Techno (Peak Time - Driving),0.6324340586468403,0.769712471189341,2.644965107658593,4.04493584931185,-0.016106027201822304,0.10329244312872972,95,95
Indie Dance,Tech House,0.6273247468803669,0.738111050919377,2.5635551758190678,4.301821878576675,-0.08073922733547167,0.19483307878143313,96,98
Mainstage,Trance (Main Floor),0.6242417715865552,0.8269214168644006,4.343876753421078,4.0967095829238405,-0.07026017016611608,0.01632584568571998,95,98
House,Tech House,0.6185050626205455,0.7182396676774339,2.6065907918013163,3.9029704544209207,-0.02050529674824908,0.2141446812613675,96,98
Psy-Trance,Techno (Peak Time - Driving),0.6179332841645652,0.7502416421747997,3.2460646475118144,4.452062009977692,-0.1363140782126393,0.16330101724389576,97,95
Dance - Pop,Mainstage,0.6133423087671163,0.6890067720996756,2.670679955283322,4.65098306868041,-0.06756816282562794,0.3207183440098938,96,95
Jackin House,Tech House,0.6128227926660056,0.7302369080216667,3.613814854659151,4.735756206596858,-0.1070419568258254,0.27339949097362876,97,98
Progressive House,Trance (Raw - Deep - Hypnotic),0.61204632811005,0.7535590170386763,3.536551754461778,4.100597671691909,-0.25505153087039667,0.13644647680411978,92,96
Dubstep,Trap - Future Bass,0.6114384085911629,0.8095053410280556,4.951031654327211,4.805431312374566,-0.10560946649498448,0.06030688354748688,96,93
Afro House,Melodic House & Techno,0.6037495542458501,0.6765744351106698,2.8824112035525107,3.9384857781920437,-0.1465271182863468,0.32586677576893186,99,94
Funky House,Jackin House,0.6013095372532498,0.7620068460074624,4.01816050983672,4.197236905069942,-0.20192822025231583,0.06298006845208226,98,97
House,Nu Disco - Disco,0.5983780165712196,0.6708668266888054,2.481351635271538,4.518347979529125,-0.03359988316905338,0.22586019664265664,96,96
Bass - Club,Minimal - Deep Tech,0.5956826717192538,0.7393715980101923,4.032537924545417,4.9766572163287055,-0.06544832499281927,0.12208033080774963,97,98
Bass House,UK Garage - Bassline,0.5932200296742248,0.6670286135149471,3.126589551135722,5.115395331269537,-0.10644054370583378,0.31161972972163565,98,96
Psy-Trance,Trance (Raw - Deep - Hypnotic),0.5928432005332626,0.7319080081558506,3.3656207565071656,4.578461592161001,-0.12594006546250758,0.02432730522812286,97,96
Jackin House,Minimal - Deep Tech,0.5919336055380524,0.7398961140290068,4.060078526585621,4.545956266641235,-0.11807771304870851,0.08615474215114484,97,98
Afro House,Progressive House,0.5902925900346477,0.7154701788647506,3.763127832789865,4.110771442643163,-0.1711567814615902,0.1458379313930231,99,92
Hard Techno,Mainstage,0.5804672635688308,0.7831052359386889,6.239752409741116,4.612122901935259,-0.2919031277866522,0.04182765192214575,96,95
Funky House,House,0.5800720879325703,0.7371507289704835,4.417099938265314,4.6000235635795415,-0.2816845753771571,0.034104916221946384,98,96
Indie Dance,Minimal - Deep Tech,0.578322070081665,0.7146591330425232,4.208582447022054,4.324343666371492,-0.1008958916867948,0.09852510448088213,96,98
Electro (Classic - Detroit - Modern),Minimal - Deep Tech,0.5759450245682748,0.7203294431667397,4.239341456571801,5.439571353012345,-0.06612604339924011,0.05096402388123633,96,98
Electronica,Melodic House & Techno,0.5705669597945415,0.6334874986804613,2.735377627023151,4.780192682461687,-0.04009593425566482,0.18258935262791542,95,94
Hard Dance - Hardcore - Neo Rave,Mainstage,0.5685518208164839,0.7122653136609287,5.351074376580451,4.9300782453808445,-0.26853031654204274,0.16993102825323816,98,95
Indie Dance,Organic House,0.5653896154202143,0.666297896760323,3.497965086960538,3.5074989671360073,-0.1178861355878762,0.0998494325705853,96,95
Electro (Classic - Detroit - Modern),Tech House,0.5604086169478819,0.6753482248067522,3.988809458830185,5.198900921610442,-0.1390712110564889,0.08277369444541748,96,98
Electro (Classic - Detroit - Modern),Indie Dance,0.5545002912098869,0.6660238906294791,4.04718318221817,5.443468913594215,-0.04626357285844929,0.0792239739968009,96,96
Techno (Peak Time - Driving),Trance (Main Floor),0.552875753657419,0.6960279027263248,4.96931807066788,4.06350367753882,-0.1978830881403244,0.044518714051236974,95,98
House,Indie Dance,0.5500578231380918,0.6018209258137068,2.8067752782476005,0.11160133809055325,-0.055236584183024906,0.1489635364915835,96,96
Minimal - Deep Tech,UK Garage - Bassline,0.548695267362651,0.6599955622468918,4.419167622971176,5.02369697651004,-0.2558488906420402,0.10641093634357271,98,96
Bass House,Minimal - Deep Tech,0.5484204995411232,0.6575656753014285,4.468374541339403,4.875273168449387,-0.09965424202183804,0.12288868739642415,98,98
House,Minimal - Deep Tech,0.5471661545398795,0.6720431623555552,4.450791986091342,3.8593200476814093,-0.06480128904550475,0.03543494965329414,96,98
