feature,ensemble_score,anova,mutual_info,random_forest,extra_trees,variance,cluster_separation
69-BPM,0.6425412949839172,0.3975057803000418,0.7530293253963593,1.0,1.0,0.3333333333333333,0.09225651496301533
2-Energym,0.5977944223280375,1.0,0.31438113666081546,0.4849101223476743,0.7354128530855385,0.3333333333333333,0.4429090923017547
fourier_peak2_bpm,0.513776555298248,0.17306806278218748,0.8292060122792092,0.5720386108516637,0.45618877286464626,1.0,0.21832299046829493
spectral_mod_rate,0.4902883799721204,0.24275902124951237,1.0,0.26487093635263387,0.44648121145932074,1.0,0.09652255670317339
fourier_peak2_mean,0.4607043642573322,0.6150596829935001,0.25574003117147254,0.3103977329098252,0.40252371572909507,0.3333333333333333,1.0
cyclic_fourier_peak1_s,0.44626458560775073,0.3911505108564592,0.4836841489495549,0.33125751326301534,0.9170939041253052,0.3333333333333333,0.14591206498992804
36-Energystd,0.43165543865056144,0.680827773186544,0.23405537045048735,0.29501249601820634,0.34692484610381186,0.6666666666666666,0.3692952847794827
sidechain_mod_depth,0.42828913702985155,0.6614934175204069,0.19200901939488507,0.43223588231661486,0.6159812900224004,0.3333333333333333,0.1233627547075643
78-beats_loudness.mean,0.4274853810640218,0.6258568016035382,0.21223814102439015,0.2382789886115286,0.360110241216984,1.0,0.2690121855340589
energy_sub_ratio,0.4132966146545731,0.49749804020332006,0.24013629193466454,0.44786961151793003,0.6380551546212863,0.3333333333333333,0.2227931738669793
fourier_peak_concentration,0.4009671258150581,0.5727241579810893,0.22994607862218744,0.2334847098434562,0.3351274221621298,0.3333333333333333,0.8149748196900427
tempogram_fast_slow_ratio,0.3996839098388905,0.5603984598081637,0.3493559894457363,0.2976487276537307,0.47198234354593877,0.3333333333333333,0.26052666601732066
sub_bass_ratio,0.3891119410355103,0.5321166333435495,0.2342230226516346,0.42276110433236724,0.44284419127080976,0.3333333333333333,0.24925995278867757
cyclic_fourier_peak3_s,0.3834915393054761,0.13624731806096632,0.6250623505637994,0.2492854725950067,0.4697628271139478,1.0,0.040957210913811354
73-bpm_histogram_first_peak_weight,0.37820984861465695,0.47813311552201704,0.16987979330332684,0.19460389238817394,0.31130358045535056,1.0,0.39084295527549917
cyclic_fourier_peak2_s,0.37416313782067756,0.23687253041046874,0.4950383439924662,0.2904801561741558,0.5513504414477379,0.6666666666666666,0.08472072300908647
