,140 - Deep Dubstep - Grime,Afro House,Amapiano,Ambient - Experimental,Bass - Club,Bass House,Breaks - Breakbeat - UK Bass,DJ Tools,Dance - Pop,Deep House,Downtempo,Drum & Bass,Dubstep,Electro (Classic - Detroit - Modern),Electronica,Funky House,Hard Dance - Hardcore - Neo Rave,Hard Techno,House,Indie Dance,Jackin House,Mainstage,Melodic House & Techno,Minimal - Deep Tech,Nu Disco - Disco,Organic House,Progressive House,Psy-Trance,Tech House,Techno (Peak Time - Driving),Techno (Raw - Deep - Hypnotic),Trance (Main Floor),Trance (Raw - Deep - Hypnotic),Trap - Future Bass,UK Garage - Bassline
140 - Deep Dubstep - Grime,0.30918332752837363,0.0,0.2513120443396143,0.04408004769809469,0.4126163713824368,0.29353853351885645,0.42834894295048687,0.24807382358899366,0.0,0.0,0.0,0.4075984230093296,0.5587638460348351,0.1684917197136685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07244143658831975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8761742242226399,0.47983579124462916
Afro House,0.0,0.2189685219454086,0.203078529221304,0.3290431464952271,0.0,0.0,0.0,0.0,0.10095986871869655,0.0,0.5087147887181404,0.0,0.0,0.0,0.5856683906379294,0.0,0.0,0.0,0.0,0.20232386067848662,0.0,0.079566714252544,0.6761564872603238,0.0,0.22169913354722676,0.5764090102223662,0.6962586746080186,0.32006627050996717,0.0,0.28767980420605566,0.062287010398233936,0.3418643170884007,0.5165774508762746,0.0,0.0
Amapiano,0.2513120443396143,0.203078529221304,0.3349299257061843,0.2006460045894437,0.051386207919921684,0.0,0.0,0.3978265534755322,0.0,0.07542098392872022,0.5051519646079334,0.28764943652719627,0.032152328633575755,0.025366016752461654,0.19987701135343144,0.0,0.0,0.0,0.03348597305657789,0.04677942558072043,0.10297594315769497,0.0,0.0,0.0695912765242431,0.2522314211197888,0.04923224881875781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437355437482476,0.0
Ambient - Experimental,0.04408004769809469,0.3290431464952271,0.2006460045894437,0.50236268597833,0.0,0.0,0.0,0.4376197412514842,0.15140423464043662,0.0,0.336425394607202,0.0,0.3001025694921076,0.0,0.721262998338744,0.0,0.14911262919417212,0.224163119233655,0.0,0.0,0.0,0.31115830619829643,0.5465919716102571,0.0,0.0,0.0,0.0,0.07242581107815305,0.0,0.0925446442848271,0.0,0.35638150135682545,0.027037442588055613,0.031031103427031123,0.0
Bass - Club,0.4126163713824368,0.0,0.051386207919921684,0.0,0.18991424330955942,0.5645848250984726,0.4694717148399251,0.0,0.0,0.4998226406746354,0.16807523922462922,0.0,0.0,0.8161273854976484,0.0,0.0,0.0,0.0,0.21358622827383053,0.4968088447393463,0.3682484713250228,0.0,0.0,0.7375000383529133,0.0,0.0578488294268141,0.0,0.0,0.6204455132019947,0.0,0.4516705969837924,0.0,0.0,0.20827082365153357,0.5749177766777438
Bass House,0.29353853351885645,0.0,0.0,0.0,0.5645848250984726,0.17548904302243173,0.4588328766613974,0.0,0.0,0.5414580757292109,0.0,0.0841546851090211,0.0,0.3767606366902204,0.0,0.46723422845912266,0.0,0.0,0.5125383977466953,0.4002565570507428,0.6199226906519559,0.0,0.0,0.6473848589039248,0.07981251857856032,0.0,0.0,0.0,0.7698117312159544,0.0,0.07918105343241874,0.0,0.0,0.27053614037431245,0.6639491243948465
Breaks - Breakbeat - UK Bass,0.42834894295048687,0.0,0.0,0.0,0.4694717148399251,0.4588328766613974,0.14587770318890259,0.0,0.0,0.06796755580917278,0.0,0.21236956524722045,0.13741477869239274,0.5680712642787653,0.0,0.26339310671387306,0.0,0.0,0.19650160583724022,0.1584822885051747,0.24776061027048904,0.0,0.0,0.2690382066711197,0.0,0.0,0.0,0.0,0.39358882038169263,0.0,0.11284249733168274,0.0,0.0,0.4293091891211389,0.42003078379538206
DJ Tools,0.24807382358899366,0.0,0.3978265534755322,0.4376197412514842,0.0,0.0,0.0,0.5211224766664487,0.0,0.0,0.07546471227013223,0.10527704368205898,0.3393823171112077,0.0,0.07043548458783994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21851736423141066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31926390051587195,0.07874182252260249
Dance - Pop,0.0,0.10095986871869655,0.0,0.15140423464043662,0.0,0.0,0.0,0.0,0.07076045792426067,0.0,0.0,0.0,0.06143649468590362,0.0,0.15839223438684794,0.30994815659808017,0.28311141380931554,0.4322665862017191,0.0,0.0,0.0,0.7013377318449798,0.3920380119949642,0.0,0.15720433614394344,0.0,0.22953086948549264,0.09967816857333553,0.0,0.4895949148088911,0.0,0.6054371897065396,0.2912027284337294,0.0,0.0
Deep House,0.0,0.0,0.07542098392872022,0.0,0.4998226406746354,0.5414580757292109,0.06796755580917278,0.0,0.0,0.2298439320357215,0.2269594696440032,0.0,0.0,0.5314046865722487,0.0,0.4990987932636125,0.0,0.0,0.8385278928752169,0.7415793034939246,0.8685761558544549,0.0,0.0,0.8740478675630021,0.5489516070470416,0.5127416308327938,0.18159675673346487,0.0,0.7788305257442728,0.0,0.2591247378778718,0.0,0.0,0.0,0.4895976323756046
Downtempo,0.0,0.5087147887181404,0.5051519646079334,0.336425394607202,0.16807523922462922,0.0,0.0,0.07546471227013223,0.0,0.2269594696440032,0.3969232460391513,0.0,0.0,0.055287599458569196,0.5053498793723246,0.0,0.0,0.0,0.0,0.33333493702060735,0.0,0.0,0.21101550095106536,0.14544760706065574,0.27118351904676563,0.4240462400444252,0.19584329755337979,0.0,0.0,0.0,0.0,0.0,0.027898101572298162,0.0,0.0
Drum & Bass,0.4075984230093296,0.0,0.28764943652719627,0.0,0.0,0.0841546851090211,0.21236956524722045,0.10527704368205898,0.0,0.0,0.0,0.32981880846113487,0.5463843707777891,0.0,0.0,0.15622945861239285,0.14180329048158108,0.07294469388138677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225958356239081,0.0
Dubstep,0.5587638460348351,0.0,0.032152328633575755,0.3001025694921076,0.0,0.0,0.13741477869239274,0.3393823171112077,0.06143649468590362,0.0,0.0,0.5463843707777891,0.4808048657970496,0.0,0.0,0.0,0.4576226420027528,0.2984281287379893,0.0,0.0,0.0,0.3111380229689057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08532329328561225,0.0,0.8114235898539199,0.0
Electro (Classic - Detroit - Modern),0.1684917197136685,0.0,0.025366016752461654,0.0,0.8161273854976484,0.3767606366902204,0.5680712642787653,0.0,0.0,0.5314046865722487,0.055287599458569196,0.0,0.0,0.24621886045616403,0.0,0.0399373716213898,0.0,0.0,0.3332429847987909,0.6771174169318563,0.38305864234602105,0.0,0.0,0.7275772334266646,0.0,0.32726758023642005,0.126378655865543,0.013717071994713627,0.6719555860739816,0.0,0.5611084380011009,0.0,0.04645383510609335,0.0,0.3729080170298241
Electronica,0.0,0.5856683906379294,0.19987701135343144,0.721262998338744,0.0,0.0,0.0,0.07043548458783994,0.15839223438684794,0.0,0.5053498793723246,0.0,0.0,0.0,0.07045217951790095,0.0,0.0,0.0,0.0,0.0,0.0,0.18487736730234272,0.6454413113764508,0.0,0.0,0.10525516331147629,0.23012777787443045,0.2505225860522647,0.0,0.15662805361680165,0.0,0.2740153272630112,0.3112754220432205,0.0,0.0
