genre,entropy,n_clusters,dominant_cluster_pct
Electronica,4.218503766428176,25,9.473684210526317
Bass - Club,3.996050797410503,23,15.463917525773196
Nu Disco - Disco,3.7537585002580096,21,20.833333333333336
Dance - Pop,3.7513093439486744,20,18.75
House,3.731559672944283,17,18.75
Electro (Classic - Detroit - Modern),3.5906374708818967,19,25.0
Trance (Raw - Deep - Hypnotic),3.566247466816313,15,16.666666666666664
Breaks - Breakbeat - UK Bass,3.5366303444443057,19,25.263157894736842
Afro House,3.510874182292465,18,24.242424242424242
Mainstage,3.4765380293913206,20,20.0
Trap - Future Bass,3.454958392208825,17,27.956989247311824
Indie Dance,3.4529811452179335,18,18.75
Melodic House & Techno,3.366039503269607,16,30.851063829787233
140 - Deep Dubstep - Grime,3.211222529164416,15,26.31578947368421
Deep House,3.2038460275550023,16,33.33333333333333
Ambient - Experimental,3.1718977151758967,22,46.391752577319586
Tech House,3.1566949867434575,17,24.489795918367346
Jackin House,3.1181053564329697,14,30.927835051546392
Bass House,3.08210631056858,19,31.63265306122449
UK Garage - Bassline,3.033252463145664,15,32.29166666666667
Organic House,2.984765178981692,14,27.368421052631582
Minimal - Deep Tech,2.9231331693898386,15,33.6734693877551
Amapiano,2.878476599859033,14,30.612244897959183
DJ Tools,2.847899112420739,13,34.48275862068966
Trance (Main Floor),2.796495923650961,15,45.91836734693878
Downtempo,2.7956307457895804,17,43.333333333333336
Psy-Trance,2.6710705649618083,14,48.45360824742268
Techno (Peak Time - Driving),2.5930702959106,16,47.368421052631575
Techno (Raw - Deep - Hypnotic),2.577767090988822,12,42.857142857142854
Drum & Bass,2.5438669456243805,12,51.61290322580645
Progressive House,2.518799322769849,12,44.565217391304344
Dubstep,2.2508809354394734,9,41.66666666666667
Hard Dance - Hardcore - Neo Rave,2.2086389415313623,12,57.14285714285714
Hard Techno,1.7629128744570366,10,62.5
Funky House,1.3661368553954127,10,75.51020408163265
