genre1,genre2,similarity
Minimal - Deep Tech,Tech House,0.9210451240047283
Organic House,Progressive House,0.918596072240506
140 - Deep Dubstep - Grime,Trap - Future Bass,0.8852261619388591
Hard Dance - Hardcore - Neo Rave,Hard Techno,0.8789408327373948
Dubstep,Trap - Future Bass,0.8646466829628205
Bass - Club,Electro (Classic - Detroit - Modern),0.8580181192028544
Breaks - Breakbeat - UK Bass,Techno (Peak Time - Driving),0.7710409008224418
Electro (Classic - Detroit - Modern),Indie Dance,0.7538297913138978
Deep House,House,0.7367111797628536
Deep House,Jackin House,0.736162010989041
Afro House,Progressive House,0.7184282462840069
140 - Deep Dubstep - Grime,Dubstep,0.7160193707517338
House,Jackin House,0.708982165711822
Dance - Pop,Mainstage,0.7081052203187944
Indie Dance,Organic House,0.6864300062337667
Ambient - Experimental,DJ Tools,0.6835493158260189
Afro House,Organic House,0.6822166114316859
Indie Dance,Minimal - Deep Tech,0.6794930297822739
Electro (Classic - Detroit - Modern),Minimal - Deep Tech,0.6762690421976404
Bass House,Tech House,0.6669021902336199
Deep House,Minimal - Deep Tech,0.6643656533884117
Amapiano,Downtempo,0.6425213793014981
Bass - Club,Indie Dance,0.6352387865961127
Bass - Club,Techno (Raw - Deep - Hypnotic),0.6332105893167966
Indie Dance,Progressive House,0.6314077259340317
Dance - Pop,Funky House,0.6298887165714573
Mainstage,Techno (Peak Time - Driving),0.6208379681791237
Funky House,Jackin House,0.620460905434507
Indie Dance,Tech House,0.6118721534809275
Deep House,Indie Dance,0.6106886564651621
Electro (Classic - Detroit - Modern),Techno (Raw - Deep - Hypnotic),0.5994758928615348
Breaks - Breakbeat - UK Bass,Psy-Trance,0.5958851918667216
Electronica,Melodic House & Techno,0.5935951012554643
Dance - Pop,Trance (Main Floor),0.590648385191535
Funky House,Nu Disco - Disco,0.5893259662895498
Electro (Classic - Detroit - Modern),Tech House,0.5877083723110292
Drum & Bass,Trap - Future Bass,0.5807396033130177
Funky House,House,0.5748077832247916
Techno (Raw - Deep - Hypnotic),Trance (Raw - Deep - Hypnotic),0.5700780604526909
Psy-Trance,Techno (Peak Time - Driving),0.5647252556943035
House,Tech House,0.5625782652973199
Mainstage,Trance (Main Floor),0.5554233917365099
Deep House,Tech House,0.5553173394291954
Drum & Bass,Dubstep,0.5482434062734788
Dubstep,Hard Dance - Hardcore - Neo Rave,0.5470706188456496
Jackin House,Nu Disco - Disco,0.520204403062009
Techno (Peak Time - Driving),UK Garage - Bassline,0.5193979056967778
Electronica,Trance (Main Floor),0.5152706904491307
Electro (Classic - Detroit - Modern),Organic House,0.5103397437185522
House,Minimal - Deep Tech,0.5090684768896645
