,n_clusters,entropy,primary_cluster,primary_cluster_pct,total_tracks
Ambient - Experimental,8,1.30231339431512,4,60.824742268041234,97
Downtempo,7,1.3637542339673632,8,51.11111111111111,90
Bass - Club,7,1.5732164720719195,8,34.02061855670103,97
Nu Disco - Disco,7,1.4365576169130876,8,48.95833333333333,96
Indie Dance,7,1.0756988572970339,8,58.333333333333336,96
Trance (Main Floor),6,0.7374853808611939,8,80.61224489795919,98
Breaks - Breakbeat - UK Bass,6,1.021828492752999,8,69.47368421052632,95
Deep House,6,1.1544294866078388,8,61.458333333333336,96
Progressive House,6,0.9259766141995263,8,65.21739130434783,92
Electro (Classic - Detroit - Modern),6,1.3188366734159178,1,45.83333333333333,96
Organic House,6,0.9500403337050161,8,54.736842105263165,95
Minimal - Deep Tech,6,1.1908830241616402,8,46.93877551020408,98
Techno (Peak Time - Driving),5,0.5417720263154768,8,87.36842105263159,95
Tech House,5,0.8921201288671459,8,62.244897959183675,98
Jackin House,5,1.060305077603299,8,65.97938144329896,97
Psy-Trance,5,0.7001599283756424,8,76.28865979381443,97
Trap - Future Bass,5,1.2243289885289126,3,50.53763440860215,93
Melodic House & Techno,5,0.9981206053615777,8,69.14893617021278,94
Mainstage,5,0.9800680067767067,8,70.52631578947368,95
140 - Deep Dubstep - Grime,5,1.1556077618814828,3,45.26315789473684,95
Hard Techno,5,0.8492564073149494,8,69.79166666666666,96
House,5,1.2201634114578053,8,57.291666666666664,96
Afro House,5,1.1682653239462313,8,62.62626262626263,99
Hard Dance - Hardcore - Neo Rave,5,0.9863323647959985,8,65.3061224489796,98
Funky House,5,0.6837912690697419,8,79.59183673469387,98
Electronica,5,1.280482515815387,8,55.78947368421052,95
Dance - Pop,5,1.0176877679589156,8,68.75,96
DJ Tools,5,0.9398924116322047,4,66.66666666666666,87
Bass House,5,0.7672037089134838,8,79.59183673469387,98
Amapiano,5,1.4460561072985587,4,31.63265306122449,98
UK Garage - Bassline,5,1.0380383519174974,8,56.25,96
Techno (Raw - Deep - Hypnotic),4,0.9751812874149561,1,52.04081632653062,98
Dubstep,3,0.5115867519685875,3,84.375,96
Drum & Bass,3,0.9595671663133566,8,59.13978494623656,93
Trance (Raw - Deep - Hypnotic),3,0.6667566076829212,8,68.75,96
