,140 - Deep Dubstep - Grime,Afro House,Amapiano,Ambient - Experimental,Bass - Club,Bass House,Breaks - Breakbeat - UK Bass,DJ Tools,Dance - Pop,Deep House,Downtempo,Drum & Bass,Dubstep,Electro (Classic - Detroit - Modern),Electronica,Funky House,Hard Dance - Hardcore - Neo Rave,Hard Techno,House,Indie Dance,Jackin House,Mainstage,Melodic House & Techno,Minimal - Deep Tech,Nu Disco - Disco,Organic House,Progressive House,Psy-Trance,Tech House,Techno (Peak Time - Driving),Techno (Raw - Deep - Hypnotic),Trance (Main Floor),Trance (Raw - Deep - Hypnotic),Trap - Future Bass,UK Garage - Bassline
140 - Deep Dubstep - Grime,1.0,-0.29434890354791454,0.21670135746106478,-0.14666376675732318,0.41861074816870647,0.2655511254236189,0.36866725718039994,0.31617588880453407,-0.38684230681008613,-0.1759484747094031,0.06632120258716112,0.3545478185636418,0.49583722230877325,0.043726019973982067,-0.15322243770543964,-0.2900564384139632,-0.04757769172536164,-0.337814196926175,-0.3499483797733678,-0.16871108539999313,-0.07046354110227959,-0.2704170015037388,-0.3383154617417803,0.02786479215915949,-0.26883608694209205,-0.42125780886319664,-0.6656201457651645,-0.11178844840986879,-0.053529564422067466,-0.30911523698446475,-0.2678648327558888,-0.5075945224061251,-0.5549677839323426,0.8287452572524794,0.5116219722432308
Afro House,-0.29434890354791454,1.0,0.2847310984149236,0.412724148640883,-0.23986177376804685,-0.47252067995728164,-0.418829182582491,0.037526570784503166,0.19288305372167014,-0.0998780960012231,0.40099134198853137,-0.28124175869796963,-0.36549593017368864,-0.15531149293220614,0.480365507976541,-0.2812478224949113,-0.2416667965220698,-0.12329726092415982,-0.15332968174966832,0.1068937958486662,-0.40059617514422063,-0.06616599160645609,0.5203633949578538,-0.290214951833333,0.413710912688523,0.5701728181161153,0.554849578974497,-0.003790116118064235,-0.3011071917110546,-0.013209693361062369,-0.17367560859962894,0.21429591399452708,0.259253881256713,-0.37827900061605724,-0.3108243198557359
Amapiano,0.21670135746106478,0.2847310984149236,1.0,0.0953527166416408,0.05370905680440108,-0.11795186659874335,-0.005874108188859362,0.32311899294860436,-0.15923021500533352,0.07270746276331164,0.2768494433329576,0.03774777056881584,-0.05019535998168578,-0.021208610165438735,0.17472432725072584,-0.1255113549798903,-0.4329901546903039,-0.41173034898909644,0.012490855487799934,0.04866863892235218,0.003402185750322362,-0.37115219345299666,0.06498271223600871,-0.06323523359494843,0.24979105041855054,0.10850685008559535,-0.05931172577586685,-0.32803346907231323,-0.11322747928105015,-0.432451174771844,-0.38881952765191397,-0.22963306865691369,-0.2998462072512169,0.1358121361096799,0.08564281573741528
Ambient - Experimental,-0.14666376675732318,0.412724148640883,0.0953527166416408,1.0,-0.4020808200671391,-0.615065550622313,-0.5510710429041059,0.12142013369272697,0.050713891592485294,-0.40676780717066197,0.38856020045001194,-0.24120966689226164,0.026850600080153386,-0.3478989206408838,0.6761405819690872,-0.4398754031604355,0.11384370054803095,0.26738147456877714,-0.38623024744433976,-0.3063740364082872,-0.5720076390194313,0.17721146738195603,0.4586911291013389,-0.5122596762155669,0.012583119367099105,0.044557719868732804,0.24264009395024233,0.005663222310398064,-0.6482479388844333,0.16024143677287317,-0.01698636708836654,0.38067819255189517,0.26683921322898496,-0.2667738178258645,-0.5750498572788065
Bass - Club,0.41861074816870647,-0.23986177376804685,0.05370905680440108,-0.4020808200671391,1.0,0.32300056759135665,0.27212848180728477,-0.0672047798152442,-0.5546121301942577,0.4797691017263719,0.22784670604676138,-0.12530346713589569,-0.22922208210738337,0.7200832960075486,-0.2242674025874638,-0.14680411336649635,-0.3723847814036543,-0.5400119790369384,0.03834197785714699,0.4138122196820817,0.32393571036116087,-0.6744967874393066,-0.6562979804529501,0.6326860585047983,-0.08038818380232504,-0.03218413202679904,-0.33767147025045463,-0.069327401247949,0.42472951355661515,-0.39999013804599604,0.39082400086598956,-0.7665770652978496,-0.16170567986254225,0.2197843988466055,0.44827792304034364
Bass House,0.2655511254236189,-0.47252067995728164,-0.11795186659874335,-0.615065550622313,0.32300056759135665,1.0,0.41729297220966055,-0.06217684182410266,-0.017630351678248113,0.30649433976896456,-0.07864101352344788,0.21792338445099568,0.011368790173228338,0.11450714942982576,-0.4338604956681733,0.1879808763845614,-0.1639620071148018,-0.3846832371696074,0.3131665511221966,0.23419224468750244,0.39052255403048997,-0.07243011752068251,-0.18981671399936517,0.5132453729867957,-0.20218780278287452,-0.25243445315594526,-0.4687425119827051,0.07917473569762756,0.6967908008213313,-0.06985712544922063,-0.13304413614181732,-0.5394500462281306,-0.4140247346929069,0.27191706814472827,0.58263400446615
Breaks - Breakbeat - UK Bass,0.36866725718039994,-0.418829182582491,-0.005874108188859362,-0.5510710429041059,0.27212848180728477,0.41729297220966055,1.0,-0.16532536550285548,-0.08510754728942382,-0.0416002983871675,-0.4846986933190298,0.4477547932206527,0.3462716040039078,0.2959266686585388,-0.3905021122806185,0.28659213908139924,-0.021053846345927774,-0.15848856152775426,0.11222184270355273,-0.057260686024066754,0.2430325194355607,0.04541534560488314,-0.3039200709088081,0.06551255603475203,-0.15342613068522848,-0.44397047824110136,-0.4019898936486761,-0.0816098243790182,0.2016264707895259,0.02062424212808467,-0.08171078131973242,-0.10801199369259562,-0.3184706555881376,0.4933250057359214,0.40473520383747363
DJ Tools,0.31617588880453407,0.037526570784503166,0.32311899294860436,0.12142013369272697,-0.0672047798152442,-0.06217684182410266,-0.16532536550285548,1.0,-0.10509530342335394,-0.1507112265486874,-0.05800827023770205,0.11009617180460496,0.23959687355805115,-0.2921224439442778,-0.20523185617185757,-0.13086728492095756,-0.08321466770119335,-0.22108805626826977,-0.03192060247051498,-0.26774164596820293,-0.09251224746297426,-0.21741302383361005,-0.07415437775657452,-0.10141901622274752,0.08618917306352303,-0.0486614157942209,-0.27400485212208725,-0.44490471513446694,-0.10671536642357249,-0.4990422557614844,-0.6183522590017576,-0.1719256068855315,-0.4704603057945054,0.36790250809100733,0.23432088977605092
Dance - Pop,-0.38684230681008613,0.19288305372167014,-0.15923021500533352,0.050713891592485294,-0.5546121301942577,-0.017630351678248113,-0.08510754728942382,-0.10509530342335394,1.0,-0.1267840319928628,-0.3215409059059784,0.0024153649269993416,0.015549347891106069,-0.5140046694837119,0.22305352312735804,0.4272327708961512,0.17193512778382825,0.2948863712122384,0.23844074835243878,-0.45013477256174994,0.0007472182178792641,0.5585153540673754,0.3009393269364945,-0.33652705111032555,0.30560528441253165,-0.05060251553158124,0.15786011379389697,-0.10461047487851372,-0.13706308307293158,0.19875260898287928,-0.22851180252751768,0.5241408046205956,0.132003459700462,-0.15476811869854412,-0.021064426011699666
Deep House,-0.1759484747094031,-0.0998780960012231,0.07270746276331164,-0.40676780717066197,0.4797691017263719,0.30649433976896456,-0.0416002983871675,-0.1507112265486874,-0.1267840319928628,1.0,0.19708182199816937,-0.42792647680087503,-0.6412734862008014,0.43044288331568603,-0.13241187350821026,0.35908972613086987,-0.6074013837040826,-0.4921754848381452,0.6865459932343766,0.5592604394279155,0.7755349129724528,-0.6368131332266533,-0.4343373764480465,0.7658527942950345,0.43343425357410004,0.25590306328996604,0.02450752739941009,-0.2812342830238461,0.6085386627797004,-0.41971577530669024,0.3215427357800802,-0.5634906815073237,0.032130563876800244,-0.3326712432577388,0.35465881925126785
Downtempo,0.06632120258716112,0.40099134198853137,0.2768494433329576,0.38856020045001194,0.22784670604676138,-0.07864101352344788,-0.4846986933190298,-0.05800827023770205,-0.3215409059059784,0.19708182199816937,1.0,-0.30908310382306614,-0.401305616349124,0.04501290198633878,0.4611750185536412,-0.5235885122418638,-0.39384397406571914,-0.36701465603011196,-0.163195761395309,0.3130984000621868,-0.177556383096386,-0.40263661254331384,0.16192339900845232,0.129895062618249,0.11099134243284814,0.3039224972841327,0.10324697658933091,0.1845667982195387,-0.07672446941832645,-0.16978714489843227,0.11586996616010525,-0.41396759470430267,0.15712357048459913,-0.24846866539449852,-0.06949713936689794
Drum & Bass,0.3545478185636418,-0.28124175869796963,0.03774777056881584,-0.24120966689226164,-0.12530346713589569,0.21792338445099568,0.4477547932206527,0.11009617180460496,0.0024153649269993416,-0.42792647680087503,-0.30908310382306614,1.0,0.6622490450187429,-0.2974369771678589,-0.38529060380906666,0.21359218144312353,0.3483910434189391,0.16851920650037533,-0.18505816590709578,-0.43016741166950667,-0.048947494080939125,0.18355329737304515,-0.10521139398858126,-0.3169401175440578,-0.175140793160115,-0.3691079931464114,-0.3810181058206559,-0.16419052188634864,-0.09765948143500158,-0.06677826161282185,-0.46364487937167054,0.02159231257996419,-0.5436996435314714,0.6047334398086105,0.18123923950419885
Dubstep,0.49583722230877325,-0.36549593017368864,-0.05019535998168578,0.026850600080153386,-0.22922208210738337,0.011368790173228338,0.3462716040039078,0.23959687355805115,0.015549347891106069,-0.6412734862008014,-0.401305616349124,0.6622490450187429,1.0,-0.36962138292416014,-0.2701454565848391,0.07736620679557538,0.5278879843078645,0.3037511516796345,-0.34407083820441997,-0.5572095076620158,-0.2321554088350426,0.3679192984387951,-0.05828079248858087,-0.5066607465464172,-0.23917907684190154,-0.5985631940766163,-0.47808895660260586,-0.15408025600421094,-0.3451354676723688,0.04869855283113589,-0.43291322361780615,0.17118500497208267,-0.5215919882989881,0.7735146353046082,-0.022319457907781448
