genre1,genre2,similarity,criterion,co_occurrences
Hard Dance - Hardcore - Neo Rave,Hard Techno,0.8706202091831685,high_similarity,
Minimal - Deep Tech,Tech House,0.8594945527831465,high_similarity,
140 - Deep Dubstep - Grime,Trap - Future Bass,0.8287452572524794,high_similarity,
Organic House,Progressive House,0.8056198335131511,high_similarity,
Deep House,Jackin House,0.7755349129724528,high_similarity,
Dubstep,Trap - Future Bass,0.7735146353046082,high_similarity,
Deep House,Minimal - Deep Tech,0.7658527942950345,high_similarity,
House,Jackin House,0.7592760005406557,high_similarity,
Mainstage,Trance (Main Floor),0.7494796945696611,high_similarity,
Mainstage,Techno (Peak Time - Driving),0.7358116745813171,high_similarity,
Bass - Club,Electro (Classic - Detroit - Modern),0.7200832960075486,high_similarity,
Funky House,Jackin House,0.7035618038787815,high_similarity,
Bass House,Tech House,0.6967908008213313,high_similarity,
Deep House,House,0.6865459932343766,high_similarity,
Ambient - Experimental,Electronica,0.6761405819690872,high_similarity,
Hard Techno,Trance (Main Floor),0.6721126565439659,high_similarity,
Drum & Bass,Dubstep,0.6622490450187429,high_similarity,
Hard Techno,Mainstage,0.6606099801947071,high_similarity,
Psy-Trance,Techno (Peak Time - Driving),0.6422781001780425,high_similarity,
Hard Dance - Hardcore - Neo Rave,Mainstage,0.6408936572670264,high_similarity,
Progressive House,Trance (Raw - Deep - Hypnotic),0.6345759275817878,high_similarity,
Bass - Club,Minimal - Deep Tech,0.6326860585047983,high_similarity,
Funky House,House,0.6299007069580205,high_similarity,
Electro (Classic - Detroit - Modern),Minimal - Deep Tech,0.6196407663773479,high_similarity,
Techno (Raw - Deep - Hypnotic),Trance (Raw - Deep - Hypnotic),0.6097076900471314,high_similarity,
Deep House,Tech House,0.6085386627797004,high_similarity,
Drum & Bass,Trap - Future Bass,0.6047334398086105,high_similarity,
Jackin House,Minimal - Deep Tech,0.5872422262795925,frequent_cooccurrence,4.0
House,Nu Disco - Disco,0.5839216239288959,frequent_cooccurrence,5.0
Bass House,UK Garage - Bassline,0.58263400446615,frequent_cooccurrence,5.0
Techno (Peak Time - Driving),Trance (Main Floor),0.5784582311576948,frequent_cooccurrence,5.0
Indie Dance,Minimal - Deep Tech,0.5734024563262959,frequent_cooccurrence,6.0
Electro (Classic - Detroit - Modern),Indie Dance,0.5705674040555305,frequent_cooccurrence,6.0
Afro House,Organic House,0.5701728181161153,frequent_cooccurrence,4.0
Deep House,Indie Dance,0.5592604394279155,frequent_cooccurrence,6.0
Dance - Pop,Mainstage,0.5585153540673754,frequent_cooccurrence,5.0
Afro House,Progressive House,0.554849578974497,frequent_cooccurrence,4.0
Psy-Trance,Trance (Raw - Deep - Hypnotic),0.5490428724284498,frequent_cooccurrence,3.0
Electro (Classic - Detroit - Modern),Techno (Raw - Deep - Hypnotic),0.5482728238551536,frequent_cooccurrence,4.0
House,Tech House,0.5371243544755917,frequent_cooccurrence,5.0
Melodic House & Techno,Techno (Peak Time - Driving),0.5315588887430024,frequent_cooccurrence,5.0
Mainstage,Melodic House & Techno,0.5284795988310718,frequent_cooccurrence,5.0
Dubstep,Hard Dance - Hardcore - Neo Rave,0.5278879843078645,frequent_cooccurrence,3.0
Dance - Pop,Trance (Main Floor),0.5241408046205956,frequent_cooccurrence,5.0
Melodic House & Techno,Trance (Main Floor),0.5214629761669,frequent_cooccurrence,5.0
Afro House,Melodic House & Techno,0.5203633949578538,frequent_cooccurrence,5.0
Jackin House,Tech House,0.5152830836708618,frequent_cooccurrence,5.0
Bass House,Minimal - Deep Tech,0.5132453729867957,frequent_cooccurrence,4.0
140 - Deep Dubstep - Grime,UK Garage - Bassline,0.5116219722432308,frequent_cooccurrence,4.0
Techno (Peak Time - Driving),Trance (Raw - Deep - Hypnotic),0.49695036651209623,frequent_cooccurrence,3.0
140 - Deep Dubstep - Grime,Dubstep,0.49583722230877325,frequent_cooccurrence,3.0
Breaks - Breakbeat - UK Bass,Trap - Future Bass,0.4933250057359214,frequent_cooccurrence,5.0
House,Minimal - Deep Tech,0.48975955353408496,frequent_cooccurrence,4.0
Indie Dance,Tech House,0.48452252764762893,frequent_cooccurrence,5.0
Electro (Classic - Detroit - Modern),Tech House,0.4817861386771096,frequent_cooccurrence,4.0
Afro House,Electronica,0.480365507976541,frequent_cooccurrence,5.0
Bass - Club,Deep House,0.4797691017263719,frequent_cooccurrence,6.0
Hard Dance - Hardcore - Neo Rave,Trance (Main Floor),0.4745933733773273,frequent_cooccurrence,5.0
Electronica,Melodic House & Techno,0.47017733170078113,frequent_cooccurrence,5.0
Hard Techno,Techno (Peak Time - Driving),0.46217156400716264,frequent_cooccurrence,5.0
Downtempo,Electronica,0.4611750185536412,frequent_cooccurrence,5.0
Ambient - Experimental,Melodic House & Techno,0.4586911291013389,frequent_cooccurrence,5.0
Trap - Future Bass,UK Garage - Bassline,0.4573555625638699,frequent_cooccurrence,5.0
Melodic House & Techno,Progressive House,0.4540575328398071,frequent_cooccurrence,4.0
Progressive House,Trance (Main Floor),0.4504234093070072,frequent_cooccurrence,5.0
Bass - Club,UK Garage - Bassline,0.44827792304034364,frequent_cooccurrence,5.0
Breaks - Breakbeat - UK Bass,Drum & Bass,0.4477547932206527,frequent_cooccurrence,3.0
Funky House,Nu Disco - Disco,0.438822711094182,frequent_cooccurrence,5.0
Trance (Main Floor),Trance (Raw - Deep - Hypnotic),0.43735046090281826,frequent_cooccurrence,3.0
Jackin House,Nu Disco - Disco,0.436806298679453,frequent_cooccurrence,5.0
Indie Dance,Organic House,0.43549333947247293,frequent_cooccurrence,6.0
Deep House,Nu Disco - Disco,0.43343425357410004,frequent_cooccurrence,6.0
Minimal - Deep Tech,UK Garage - Bassline,0.43045920850296104,frequent_cooccurrence,4.0
Deep House,Electro (Classic - Detroit - Modern),0.43044288331568603,frequent_cooccurrence,5.0
Dance - Pop,Funky House,0.4272327708961512,frequent_cooccurrence,5.0
Bass - Club,Tech House,0.42472951355661515,frequent_cooccurrence,5.0
Tech House,UK Garage - Bassline,0.4237641582145004,frequent_cooccurrence,5.0
140 - Deep Dubstep - Grime,Bass - Club,0.41861074816870647,frequent_cooccurrence,5.0
Jackin House,UK Garage - Bassline,0.41845980092818735,frequent_cooccurrence,5.0
Bass House,Breaks - Breakbeat - UK Bass,0.41729297220966055,frequent_cooccurrence,5.0
Bass - Club,Indie Dance,0.4138122196820817,frequent_cooccurrence,7.0
Afro House,Nu Disco - Disco,0.413710912688523,frequent_cooccurrence,5.0
Afro House,Ambient - Experimental,0.412724148640883,frequent_cooccurrence,5.0
Organic House,Trance (Raw - Deep - Hypnotic),0.41259251562740773,frequent_cooccurrence,3.0
Breaks - Breakbeat - UK Bass,UK Garage - Bassline,0.40473520383747363,frequent_cooccurrence,5.0
Afro House,Downtempo,0.40099134198853137,frequent_cooccurrence,5.0
Bass - Club,Techno (Raw - Deep - Hypnotic),0.39082400086598956,frequent_cooccurrence,4.0
Bass House,Jackin House,0.39052255403048997,frequent_cooccurrence,5.0
Ambient - Experimental,Downtempo,0.38856020045001194,frequent_cooccurrence,7.0
Mainstage,Psy-Trance,0.38302693725478654,frequent_cooccurrence,4.0
Ambient - Experimental,Trance (Main Floor),0.38067819255189517,frequent_cooccurrence,6.0
Hard Dance - Hardcore - Neo Rave,Techno (Peak Time - Driving),0.3800708363129124,frequent_cooccurrence,5.0
Melodic House & Techno,Psy-Trance,0.37233050786348665,frequent_cooccurrence,4.0
140 - Deep Dubstep - Grime,Breaks - Breakbeat - UK Bass,0.36866725718039994,frequent_cooccurrence,5.0
Dubstep,Mainstage,0.3679192984387951,frequent_cooccurrence,3.0
Deep House,Funky House,0.35908972613086987,frequent_cooccurrence,5.0
Deep House,UK Garage - Bassline,0.35465881925126785,frequent_cooccurrence,5.0
140 - Deep Dubstep - Grime,Drum & Bass,0.3545478185636418,frequent_cooccurrence,3.0
Indie Dance,Techno (Raw - Deep - Hypnotic),0.3528484529869731,frequent_cooccurrence,4.0
