genre1,genre2,co_clustering,acoustic_similarity,phantom_score,category
140 - Deep Dubstep - Grime,Trap - Future Bass,0.7904761904761904,0.8159752697984594,0.8032257301373249,strong
Hard Dance - Hardcore - Neo Rave,Hard Techno,0.7636363636363637,0.8264427841720234,0.7950395739041936,strong
Organic House,Progressive House,0.780952380952381,0.7749380232524732,0.7779452021024271,strong
Minimal - Deep Tech,Tech House,0.7192982456140351,0.7970463391958044,0.7581722924049197,strong
House,Jackin House,0.8037383177570093,0.6430064315113643,0.7233723746341868,moderate
Mainstage,Trance (Main Floor),0.7706422018348624,0.6362473884864205,0.7034447951606415,moderate
Funky House,Jackin House,0.7410714285714286,0.6644670891427535,0.7027692588570911,moderate
Deep House,Jackin House,0.7079646017699115,0.690218772475763,0.6990916871228372,moderate
Mainstage,Techno (Peak Time - Driving),0.6964285714285714,0.6899778111452842,0.6932031912869279,moderate
Dance - Pop,Mainstage,0.8910891089108911,0.4706265055773817,0.6808578072441365,moderate
Hard Dance - Hardcore - Neo Rave,Mainstage,0.8207547169811321,0.5407301385819487,0.6807424277815404,moderate
Hard Techno,Mainstage,0.819047619047619,0.5384222148622201,0.6787349169549195,moderate
Progressive House,Trance (Raw - Deep - Hypnotic),0.8431372549019608,0.5117996625776126,0.6774684587397867,moderate
Deep House,House,0.7614678899082569,0.5903261349589001,0.6758970124335785,moderate
Afro House,Melodic House & Techno,0.8737864077669902,0.4711731962255741,0.6724798019962821,moderate
Mainstage,Melodic House & Techno,0.8712871287128713,0.4695729365353738,0.6704300326241226,moderate
Techno (Peak Time - Driving),Trance (Main Floor),0.8557692307692307,0.4828167232936236,0.6692929770314271,moderate
Electro (Classic - Detroit - Modern),Techno (Raw - Deep - Hypnotic),0.7798165137614679,0.5577835265139688,0.6688000201377183,moderate
Deep House,Minimal - Deep Tech,0.6724137931034483,0.6568227902130096,0.6646182916582289,moderate
Psy-Trance,Trance (Raw - Deep - Hypnotic),0.8037383177570093,0.4927103098618151,0.6482243138094121,moderate
Bass - Club,Electro (Classic - Detroit - Modern),0.6083333333333333,0.682698394362123,0.6455158638477281,moderate
Indie Dance,Tech House,0.883495145631068,0.40464335999168766,0.6440692528113778,moderate
Psy-Trance,Techno (Peak Time - Driving),0.7297297297297297,0.556802127630877,0.6432659286803033,moderate
Deep House,Tech House,0.7798165137614679,0.5057698369459355,0.6427931753537017,moderate
Hard Techno,Trance (Main Floor),0.7168141592920354,0.5687081643286872,0.6427611618103612,moderate
Afro House,Electronica,0.8653846153846154,0.41215559204433894,0.6387701037144772,moderate
Dubstep,Trap - Future Bass,0.4881889763779528,0.788762688117373,0.6384758322476629,moderate
House,Nu Disco - Disco,0.7142857142857143,0.5595685872229593,0.6369271507543368,moderate
Indie Dance,Organic House,0.8543689320388349,0.4134020455959825,0.6338854888174087,moderate
Indie Dance,Minimal - Deep Tech,0.7798165137614679,0.48203954885501066,0.6309280313082393,moderate
Deep House,Indie Dance,0.7777777777777778,0.4485818389282089,0.6131798083529933,moderate
Bass House,Tech House,0.5934959349593496,0.6234478486436559,0.6084718918015027,weak
Melodic House & Techno,Trance (Main Floor),0.7614678899082569,0.4469552013303244,0.6042115456192907,moderate
Electro (Classic - Detroit - Modern),Minimal - Deep Tech,0.6724137931034483,0.5325575575918481,0.6024856753476482,moderate
Drum & Bass,Hard Dance - Hardcore - Neo Rave,0.819047619047619,0.3594626776529761,0.5892551483502976,moderate
Dance - Pop,Trance (Main Floor),0.7168141592920354,0.46059392709832303,0.5887040431951792,moderate
Afro House,Nu Disco - Disco,0.7105263157894737,0.4561030512077364,0.583314683498605,moderate
Afro House,Progressive House,0.6050420168067226,0.5333457376057985,0.5691938772062606,moderate
Melodic House & Techno,Techno (Peak Time - Driving),0.6875,0.45002411882068305,0.5687620594103415,moderate
Techno (Raw - Deep - Hypnotic),Trance (Raw - Deep - Hypnotic),0.5396825396825397,0.5974205078202234,0.5685515237513815,weak
Funky House,House,0.6302521008403361,0.5038542734719326,0.5670531871561344,moderate
Indie Dance,Progressive House,0.8613861386138614,0.27270983584294706,0.5670479872284042,moderate
Dance - Pop,Funky House,0.7168141592920354,0.41026749329981715,0.5635408262959263,moderate
Bass House,Breaks - Breakbeat - UK Bass,0.7870370370370371,0.32380996219594504,0.5554234996164911,moderate
Bass - Club,Minimal - Deep Tech,0.5983606557377049,0.5072708419994959,0.5528157488686004,weak
House,Tech House,0.6302521008403361,0.4664370994642476,0.5483446001522918,moderate
Afro House,Organic House,0.5038759689922481,0.5893906446896865,0.5466333068409672,weak
Dance - Pop,Melodic House & Techno,0.7924528301886793,0.2896542471400406,0.54105353866436,moderate
Breaks - Breakbeat - UK Bass,Jackin House,0.8640776699029126,0.2155885417922896,0.5398331058476011,moderate
Electronica,Melodic House & Techno,0.7663551401869159,0.31058196440373287,0.5384685522953243,moderate
Jackin House,Nu Disco - Disco,0.6929824561403509,0.38062657639738817,0.5368045162688695,moderate
Afro House,Dance - Pop,0.822429906542056,0.2232373042288852,0.5228336053854706,moderate
Drum & Bass,UK Garage - Bassline,0.8173076923076923,0.22617816694967496,0.5217429296286836,moderate
Jackin House,Tech House,0.6115702479338843,0.4301245302361354,0.5208473890850098,moderate
Jackin House,UK Garage - Bassline,0.7079646017699115,0.33034930335120616,0.5191569525605588,moderate
Electro (Classic - Detroit - Modern),Indie Dance,0.5737704918032787,0.4630778814999209,0.5184241866515997,weak
Bass House,Jackin House,0.7567567567567568,0.2798716065711194,0.5183141816639381,moderate
Bass House,UK Garage - Bassline,0.5396825396825397,0.49479096243375276,0.5172367510581461,weak
Downtempo,Electronica,0.6972477064220184,0.33676411053344335,0.5170059084777309,moderate
Organic House,Trance (Raw - Deep - Hypnotic),0.7522935779816514,0.28006728717454377,0.5161804325780976,moderate
Funky House,Trance (Main Floor),0.8666666666666667,0.16564263561526338,0.516154651140965,moderate
Melodic House & Techno,Progressive House,0.603448275862069,0.4272527757454281,0.5153505258037485,moderate
Breaks - Breakbeat - UK Bass,Funky House,0.7706422018348624,0.2572738709315283,0.5139580363831954,moderate
Breaks - Breakbeat - UK Bass,Drum & Bass,0.6206896551724138,0.4019473633091737,0.5113185092407937,moderate
Electronica,Nu Disco - Disco,0.8018867924528302,0.21884761773138028,0.5103672050921053,moderate
Minimal - Deep Tech,Techno (Raw - Deep - Hypnotic),0.7043478260869566,0.3144930152125095,0.509420420649733,moderate
Dance - Pop,Electronica,0.7363636363636363,0.2813141114294788,0.5088388738965576,moderate
Bass House,Funky House,0.8846153846153846,0.12696144371626328,0.505788414165824,moderate
Hard Techno,Techno (Peak Time - Driving),0.6608695652173913,0.34359382267620775,0.5022316939467995,moderate
Hard Dance - Hardcore - Neo Rave,Trance (Main Floor),0.6610169491525424,0.34084358461049846,0.5009302668815204,moderate
Bass - Club,Techno (Raw - Deep - Hypnotic),0.5476190476190477,0.45215683476935076,0.4998879411941992,weak
Trance (Main Floor),Trance (Raw - Deep - Hypnotic),0.5772357723577236,0.4216549645439771,0.49944536845085036,weak
Breaks - Breakbeat - UK Bass,UK Garage - Bassline,0.6186440677966102,0.37931006490815156,0.49897706635238087,moderate
Mainstage,Psy-Trance,0.6134453781512605,0.3760482979580797,0.4947468380546701,moderate
Progressive House,Trance (Main Floor),0.5573770491803278,0.4286223973052996,0.4929997232428137,weak
Deep House,Nu Disco - Disco,0.5483870967741935,0.42977391205249216,0.48908050441334283,weak
Techno (Peak Time - Driving),Trance (Raw - Deep - Hypnotic),0.5916666666666667,0.3851371145920903,0.4884018906293785,weak
Afro House,Downtempo,0.672566371681416,0.3041661404418132,0.4883662560616146,moderate
Deep House,Funky House,0.6033057851239669,0.35717397011385255,0.48023987761890974,moderate
Breaks - Breakbeat - UK Bass,Mainstage,0.8446601941747572,0.11479320908698643,0.47972670163087183,moderate
Bass House,Techno (Peak Time - Driving),0.8737864077669902,0.08459458498083172,0.479190496373911,moderate
Indie Dance,Trance (Raw - Deep - Hypnotic),0.8113207547169812,0.1428548432516843,0.47708779898433273,moderate
House,Minimal - Deep Tech,0.552,0.40067154641729874,0.4763357732086494,weak
Funky House,Hard Techno,0.8130841121495327,0.13426811197507482,0.47367611206230376,moderate
Dance - Pop,House,0.6842105263157895,0.25825722280435115,0.4712338745600703,moderate
Dance - Pop,Nu Disco - Disco,0.6551724137931034,0.2871722196026868,0.4711723166978951,moderate
Bass - Club,Deep House,0.5564516129032258,0.3855323171219688,0.47099196501259727,weak
Bass House,House,0.6302521008403361,0.2962059442227466,0.46322902253154136,moderate
Melodic House & Techno,Psy-Trance,0.646551724137931,0.27603943149232013,0.4612955778151256,moderate
Deep House,Downtempo,0.7383177570093458,0.17699857796446294,0.45765816748690435,moderate
Dance - Pop,Hard Techno,0.7454545454545455,0.16899462663632414,0.4572245860454348,moderate
Funky House,Nu Disco - Disco,0.5275590551181102,0.38621813635375246,0.4568885957359313,weak
Hard Dance - Hardcore - Neo Rave,Techno (Peak Time - Driving),0.6218487394957983,0.2831350896967145,0.45249191459625643,moderate
Minimal - Deep Tech,Organic House,0.8380952380952381,0.06626795039237732,0.4521815942438077,moderate
Indie Dance,Psy-Trance,0.6929824561403509,0.2068692838289774,0.44992586998466416,moderate
Organic House,Tech House,0.8037383177570093,0.09369739727076098,0.44871785751388515,moderate
Downtempo,Indie Dance,0.6756756756756757,0.21049530647672277,0.4430854910761992,moderate
Psy-Trance,Trance (Main Floor),0.7256637168141593,0.15906004843408517,0.44236188262412224,moderate
Hard Techno,Melodic House & Techno,0.8095238095238095,0.07283609440280125,0.4411799519633054,moderate
Deep House,Organic House,0.6754385964912281,0.20528001194069834,0.4403593042159632,moderate
Funky House,Mainstage,0.7870370370370371,0.0928600061501832,0.43994852159361014,moderate
Dance - Pop,Jackin House,0.8037383177570093,0.07545177128609126,0.4395950445215503,moderate
Progressive House,Psy-Trance,0.7830188679245284,0.0954645612186713,0.43924171457159983,moderate
Drum & Bass,Hard Techno,0.7027027027027027,0.17063254513297144,0.4366676239178371,moderate
Downtempo,Organic House,0.6371681415929203,0.23564652390122875,0.43640733274707455,moderate
Bass House,Deep House,0.6869565217391305,0.18149452032441094,0.4342255210317707,moderate
Afro House,Trance (Main Floor),0.6837606837606838,0.18416118365606748,0.43396093370837563,moderate
Bass House,Mainstage,0.7706422018348624,0.09386796128176833,0.4322550815583154,moderate
Deep House,Progressive House,0.8252427184466019,0.038636847983662403,0.43193978321513216,moderate
Breaks - Breakbeat - UK Bass,Techno (Peak Time - Driving),0.6964285714285714,0.15943368365157906,0.42793112754007523,moderate
House,UK Garage - Bassline,0.7142857142857143,0.14042409558152813,0.4273549049336212,moderate
Electronica,Mainstage,0.7431192660550459,0.1103438516963905,0.4267315588757182,moderate
Bass House,Psy-Trance,0.7410714285714286,0.10334736292145263,0.4222093957464406,moderate
Electronica,Trance (Main Floor),0.5819672131147541,0.26126986075312075,0.4216185369339374,weak
Indie Dance,Techno (Raw - Deep - Hypnotic),0.5901639344262295,0.24352550798198347,0.4168447212041065,weak
Bass - Club,Indie Dance,0.5564516129032258,0.2675995541275997,0.41202558351541274,weak
Electronica,Hard Techno,0.6608695652173913,0.16152750920641257,0.4111985372119019,moderate
Electro (Classic - Detroit - Modern),Tech House,0.515625,0.305900988316398,0.410762994158199,weak
Dance - Pop,Hard Dance - Hardcore - Neo Rave,0.7798165137614679,0.04117310093842852,0.4104948073499482,moderate
Drum & Bass,Mainstage,0.6637168141592921,0.15376194047576552,0.4087393773175288,moderate
Deep House,UK Garage - Bassline,0.5483870967741935,0.26727105395817896,0.40782907536618623,weak
Breaks - Breakbeat - UK Bass,Hard Dance - Hardcore - Neo Rave,0.7706422018348624,0.035661542403311874,0.40315187211908715,moderate
Deep House,Trance (Raw - Deep - Hypnotic),0.7142857142857143,0.09121025469141486,0.4027479844885646,moderate
Afro House,Trance (Raw - Deep - Hypnotic),0.5853658536585366,0.218221092656665,0.4017934731576008,weak
Downtempo,Nu Disco - Disco,0.6756756756756757,0.12571833415076972,0.4006970049132227,moderate
Downtempo,Minimal - Deep Tech,0.6785714285714286,0.11831414991227351,0.39844278924185106,moderate
Electronica,House,0.8543689320388349,-0.06133250876601837,0.39651821163640827,moderate
Electro (Classic - Detroit - Modern),Organic House,0.646551724137931,0.1407173017622816,0.3936345129501063,moderate
Bass House,Dance - Pop,0.7321428571428571,0.05253236153902652,0.3923376093409418,moderate
Melodic House & Techno,Trance (Raw - Deep - Hypnotic),0.6239316239316239,0.15669407129553758,0.39031284761358076,moderate
Dance - Pop,Techno (Peak Time - Driving),0.6608695652173913,0.11959371754122416,0.3902316413793077,moderate
Psy-Trance,Tech House,0.7410714285714286,0.036799420397473415,0.388935424484451,moderate
Drum & Bass,Funky House,0.6186440677966102,0.15615799178662082,0.3874010297916155,moderate
Breaks - Breakbeat - UK Bass,Tech House,0.6495726495726496,0.12458855057951534,0.38708060007608247,moderate
House,Indie Dance,0.6410256410256411,0.13023028010862447,0.3856279605671328,moderate
Bass House,Drum & Bass,0.5403225806451613,0.22835554742936315,0.3843390640372622,weak
Mainstage,Trance (Raw - Deep - Hypnotic),0.5785123966942148,0.18963891718671477,0.3840756569404648,weak
Hard Dance - Hardcore - Neo Rave,Melodic House & Techno,0.7777777777777778,-0.01353957116474458,0.3821191033065166,moderate
Bass - Club,Tech House,0.5116279069767442,0.2446058584031574,0.3781168826899508,weak
Amapiano,Nu Disco - Disco,0.515625,0.23919361547943552,0.37740930773971776,weak
Breaks - Breakbeat - UK Bass,Psy-Trance,0.6991150442477876,0.04975724358221478,0.3744361439150012,moderate
Breaks - Breakbeat - UK Bass,House,0.7522935779816514,-0.008655289114329223,0.3718191444336611,moderate
Bass House,Melodic House & Techno,0.7777777777777778,-0.03591128640785235,0.3709332456849627,moderate
Afro House,House,0.822429906542056,-0.08072203599862182,0.3708539352717171,moderate
Downtempo,Melodic House & Techno,0.6428571428571429,0.09766079421511664,0.3702589685361298,moderate
Hard Dance - Hardcore - Neo Rave,Psy-Trance,0.5476190476190477,0.19209446858981782,0.36985675810443275,weak
Afro House,Mainstage,0.8653846153846154,-0.12674023581724492,0.36932218978368525,moderate
Indie Dance,Jackin House,0.5564516129032258,0.18089424665495513,0.36867292977909044,weak
Progressive House,Techno (Peak Time - Driving),0.5583333333333333,0.17612509595159453,0.36722921464246394,weak
Ambient - Experimental,DJ Tools,0.6283185840707964,0.10447827556469069,0.36639842981774357,moderate
Progressive House,Techno (Raw - Deep - Hypnotic),0.5573770491803278,0.17503550966854842,0.3662062794244381,weak
Breaks - Breakbeat - UK Bass,Trance (Main Floor),0.7545454545454545,-0.025443812945182165,0.3645508208001362,moderate
Tech House,Trance (Raw - Deep - Hypnotic),0.883495145631068,-0.15793708581643084,0.3627790299073186,moderate
Funky House,Hard Dance - Hardcore - Neo Rave,0.75,-0.026273317463876955,0.3618633412680615,moderate
Hard Techno,Trance (Raw - Deep - Hypnotic),0.5483870967741935,0.17360051070518723,0.36099380373969037,weak
Afro House,Indie Dance,0.5725806451612904,0.14513780629908968,0.35885922573019,weak
Afro House,Deep House,0.7256637168141593,-0.008618308771209948,0.3585227040214747,moderate
Funky House,UK Garage - Bassline,0.6166666666666667,0.09983470120283344,0.35825068393475007,moderate
Bass - Club,Downtempo,0.5583333333333333,0.15209245730016097,0.35521289531674716,weak
Dance - Pop,Trance (Raw - Deep - Hypnotic),0.5609756097560976,0.14225687667180997,0.3516162432139538,weak
Breaks - Breakbeat - UK Bass,Hard Techno,0.7850467289719626,-0.08307679187702588,0.35098496854746836,moderate
Progressive House,Tech House,0.8627450980392157,-0.16162717323640452,0.3505589624014056,moderate
Breaks - Breakbeat - UK Bass,Deep House,0.7685185185185185,-0.072545272388856,0.34798662306483125,moderate
Downtempo,Psy-Trance,0.5847457627118644,0.1076085538505448,0.3461771582812046,weak
Downtempo,Progressive House,0.6396396396396397,0.047173999478869466,0.34340681955925456,moderate
Amapiano,Electronica,0.5317460317460317,0.154821145048185,0.3432835883971084,weak
Electronica,Progressive House,0.5327868852459017,0.15354423215320834,0.343165558699555,weak
Breaks - Breakbeat - UK Bass,Dance - Pop,0.7685185185185185,-0.08722749677273223,0.34064551087289313,moderate
Bass House,Indie Dance,0.5396825396825397,0.13799504578869637,0.338838792735618,weak
Organic House,Psy-Trance,0.6410256410256411,0.032964090498482146,0.3369948657620616,moderate
Funky House,Techno (Peak Time - Driving),0.8207547169811321,-0.14828064509237837,0.33623703594437687,moderate
Hard Techno,Psy-Trance,0.5819672131147541,0.0903098819026158,0.33613854750868494,weak
Indie Dance,Melodic House & Techno,0.5702479338842975,0.0984113259105196,0.33432962989740855,weak
Dance - Pop,Progressive House,0.5284552845528455,0.13957664813630655,0.33401596634457603,weak
Funky House,Tech House,0.53125,0.13662279592964643,0.3339363979648232,weak
House,Melodic House & Techno,0.7592592592592593,-0.09177608147800287,0.3337415888906282,moderate
Dance - Pop,UK Garage - Bassline,0.6271186440677966,0.03922247858712613,0.33317056132746137,moderate
Nu Disco - Disco,UK Garage - Bassline,0.6551724137931034,-0.0016867903815176444,0.3267428117057929,moderate
Hard Techno,Jackin House,0.7706422018348624,-0.11808668869086514,0.32627775657199865,moderate
Electro (Classic - Detroit - Modern),Progressive House,0.5161290322580645,0.13189458571677826,0.3240118089874214,weak
Downtempo,House,0.7064220183486238,-0.07093556902191778,0.31774322466335303,moderate
Downtempo,Trance (Raw - Deep - Hypnotic),0.5630252100840336,0.07052375870349048,0.31677448439376205,weak
Deep House,Electronica,0.6608695652173913,-0.02909937063871415,0.31588509728933856,moderate
House,Mainstage,0.7363636363636363,-0.1047543395008832,0.31580464843137657,moderate
Melodic House & Techno,Nu Disco - Disco,0.6521739130434783,-0.02226524302023436,0.31495433501162196,moderate
Bass House,Hard Dance - Hardcore - Neo Rave,0.6752136752136753,-0.050083781823876405,0.3125649466948994,moderate
Drum & Bass,Jackin House,0.7117117117117117,-0.09191576976756766,0.309897970972072,moderate
Breaks - Breakbeat - UK Bass,Melodic House & Techno,0.8712871287128713,-0.2526539086613253,0.309316610025773,moderate
Organic House,Techno (Raw - Deep - Hypnotic),0.6782608695652174,-0.06360844558869272,0.3073262119882623,moderate
Electronica,Hard Dance - Hardcore - Neo Rave,0.6782608695652174,-0.06854640814337398,0.3048572307109217,moderate
Dance - Pop,Deep House,0.6410256410256411,-0.032784465928290096,0.3041205875486755,moderate
Tech House,Techno (Raw - Deep - Hypnotic),0.568,0.035749876502865874,0.3018749382514329,weak
Electronica,Psy-Trance,0.5118110236220472,0.08645023306664423,0.29913062834434573,weak
Minimal - Deep Tech,Trance (Raw - Deep - Hypnotic),0.6440677966101694,-0.04977867832015903,0.2971445591450052,moderate
House,Progressive House,0.6206896551724138,-0.033035277090241566,0.2938271890410861,moderate
Hard Dance - Hardcore - Neo Rave,Jackin House,0.875,-0.29078915691570306,0.29210542154214847,moderate
Electronica,Techno (Peak Time - Driving),0.52,0.060732814928238565,0.2903664074641193,weak
Downtempo,Tech House,0.6068376068376068,-0.0332921894254774,0.2867727087060647,moderate
Hard Techno,House,0.6695652173913044,-0.09686572792323878,0.2863497447340328,moderate
Electronica,Organic House,0.52,0.04180066314067188,0.28090033157033595,weak
Indie Dance,Techno (Peak Time - Driving),0.528,0.03208775037047207,0.28004387518523605,weak
Dance - Pop,Drum & Bass,0.6293103448275862,-0.07590395368983893,0.27670319556887363,moderate
Afro House,Hard Techno,0.7256637168141593,-0.17304700151844288,0.2763083576478582,moderate
Jackin House,Mainstage,0.8640776699029126,-0.31180170682715636,0.2761379815378781,moderate
Funky House,Melodic House & Techno,0.7777777777777778,-0.23017034650850565,0.27380371563463607,moderate
Breaks - Breakbeat - UK Bass,Minimal - Deep Tech,0.5196850393700787,0.02104625085372025,0.2703656451118995,weak
Electronica,Jackin House,0.7614678899082569,-0.2237112071799663,0.2688783413641453,moderate
Mainstage,Progressive House,0.5454545454545454,-0.007932160668356891,0.26876119239309426,weak
Minimal - Deep Tech,Psy-Trance,0.5354330708661418,-0.004174538303866049,0.26562926628113787,weak
Drum & Bass,Melodic House & Techno,0.6260869565217392,-0.09607686809077065,0.26500504421548426,moderate
Funky House,Progressive House,0.5079365079365079,0.01932816469072829,0.2636323363136181,weak
Bass House,Downtempo,0.5161290322580645,0.009941163643225726,0.2630350979506451,weak
Hard Techno,Progressive House,0.5161290322580645,0.007662522641824543,0.2618957774499445,weak
Afro House,Jackin House,0.8846153846153846,-0.3630658448412025,0.26077476988709103,moderate
House,Organic House,0.5785123966942148,-0.05868503683194004,0.2599136799311374,weak
Afro House,Psy-Trance,0.6065573770491803,-0.08786683186535305,0.25934527259191364,moderate
Dance - Pop,Psy-Trance,0.5819672131147541,-0.0656545805185218,0.25815631629811614,weak
Minimal - Deep Tech,Progressive House,0.6814159292035398,-0.16787209645869172,0.256771916372424,moderate
Breaks - Breakbeat - UK Bass,Trance (Raw - Deep - Hypnotic),0.6608695652173913,-0.15069468102485595,0.25508744209626766,moderate
Afro House,Techno (Peak Time - Driving),0.6166666666666667,-0.10922633523311442,0.25372016571677614,moderate
Afro House,Funky House,0.6982758620689655,-0.1941628540408642,0.25205650401405066,moderate
Hard Dance - Hardcore - Neo Rave,UK Garage - Bassline,0.7321428571428571,-0.22831133900798872,0.2519157590674342,moderate
Breaks - Breakbeat - UK Bass,Indie Dance,0.6186440677966102,-0.11569696251126516,0.2514735526426725,moderate
Drum & Bass,Trance (Main Floor),0.528,-0.028781193137967787,0.24960940343101612,weak
Tech House,Techno (Peak Time - Driving),0.5819672131147541,-0.08608219249386373,0.24794251031044517,weak
Nu Disco - Disco,Trance (Main Floor),0.515625,-0.02320503258208273,0.24620998370895864,weak
Dance - Pop,Tech House,0.552,-0.06339758021837616,0.24430120989081194,weak
Electronica,Indie Dance,0.5528455284552846,-0.06431171761245347,0.24426690542141555,weak
Drum & Bass,Nu Disco - Disco,0.7181818181818181,-0.23350702997237271,0.24233739410472271,moderate
Afro House,Hard Dance - Hardcore - Neo Rave,0.7747747747747747,-0.2909650993204458,0.24190483772716448,moderate
Drum & Bass,House,0.7181818181818181,-0.2439346418404238,0.23712358817069717,moderate
Hard Dance - Hardcore - Neo Rave,House,0.7168141592920354,-0.24314585822431667,0.23683415053385937,moderate
House,Trance (Main Floor),0.6033057851239669,-0.138496057074041,0.23240486402496296,moderate
Mainstage,UK Garage - Bassline,0.6608695652173913,-0.1960781361087811,0.23239571455430508,moderate
Deep House,Psy-Trance,0.7387387387387387,-0.2842816889838562,0.22722852487744127,moderate
Hard Dance - Hardcore - Neo Rave,Trance (Raw - Deep - Hypnotic),0.5275590551181102,-0.07762357688868793,0.22496773911471113,weak
Jackin House,Melodic House & Techno,0.8725490196078431,-0.4266641468749466,0.22294243636644828,moderate
Bass House,Hard Techno,0.7321428571428571,-0.2978586020813663,0.2171421275307454,moderate
Bass House,Trance (Main Floor),0.9029126213592233,-0.4706508895021859,0.2161308659285187,moderate
House,Trance (Raw - Deep - Hypnotic),0.5737704918032787,-0.1429224767465933,0.21542400752834268,weak
Afro House,Breaks - Breakbeat - UK Bass,0.8476190476190476,-0.42143748491217004,0.21309078135343879,moderate
Melodic House & Techno,Tech House,0.6271186440677966,-0.20316838685589245,0.21197512860595208,moderate
Bass - Club,House,0.5196850393700787,-0.09814435849772019,0.21077034043617926,weak
Electronica,UK Garage - Bassline,0.7053571428571429,-0.2874040406871814,0.20897655108498076,moderate
Jackin House,Trance (Main Floor),0.7105263157894737,-0.2926782827269847,0.20892401653124448,moderate
Hard Techno,Nu Disco - Disco,0.5609756097560976,-0.14558168628442192,0.20769696173583785,weak
Afro House,UK Garage - Bassline,0.652542372881356,-0.23874112949860127,0.20690062169137735,moderate
Bass - Club,Organic House,0.5238095238095238,-0.11072946595639355,0.20654002892656514,weak
Downtempo,Jackin House,0.5847457627118644,-0.18091973432881492,0.20191301419152474,weak
Jackin House,Techno (Peak Time - Driving),0.6551724137931034,-0.25252167257660596,0.20132537060824873,moderate
Breaks - Breakbeat - UK Bass,Electronica,0.7272727272727273,-0.32598898609163807,0.2006418705905446,moderate
Afro House,Tech House,0.628099173553719,-0.22934307484214078,0.19937804935578912,moderate
Jackin House,Progressive House,0.5882352941176471,-0.1919678891299499,0.1981337024938486,weak
Afro House,Drum & Bass,0.6551724137931034,-0.2622413913155708,0.19646551123876632,moderate
Funky House,Trance (Raw - Deep - Hypnotic),0.5396825396825397,-0.14800560173870614,0.19583846897191676,weak
Jackin House,Trance (Raw - Deep - Hypnotic),0.5950413223140496,-0.2109010088659231,0.19207015672406325,weak
Deep House,Melodic House & Techno,0.7117117117117117,-0.3325045357097478,0.18960358800098193,moderate
Breaks - Breakbeat - UK Bass,Nu Disco - Disco,0.6050420168067226,-0.22688822937287534,0.18907689371692366,moderate
Hard Dance - Hardcore - Neo Rave,Nu Disco - Disco,0.7168141592920354,-0.34198976488013333,0.18741219720595104,moderate
House,Techno (Peak Time - Driving),0.5403225806451613,-0.16696635520394265,0.1866781127206093,weak
Mainstage,Tech House,0.5691056910569106,-0.2079795218299576,0.18056308461347648,weak
Electronica,Funky House,0.6083333333333333,-0.25825947246919556,0.17503693043206886,moderate
Mainstage,Nu Disco - Disco,0.646551724137931,-0.3103368899322736,0.16810741710282873,moderate
Hard Techno,UK Garage - Bassline,0.7454545454545455,-0.4130610792420757,0.1661967331062349,moderate
Drum & Bass,Electronica,0.6936936936936937,-0.37327933053916396,0.16020718157726488,moderate
Bass House,Nu Disco - Disco,0.5275590551181102,-0.20882395518123875,0.15936754996843572,weak
Hard Dance - Hardcore - Neo Rave,Tech House,0.5433070866141733,-0.24924617099087465,0.1470304578116493,weak
Hard Dance - Hardcore - Neo Rave,Progressive House,0.52,-0.23691769458173106,0.14154115270913448,weak
Afro House,Bass House,0.7130434782608696,-0.4357737289136332,0.13863487467361818,moderate
Breaks - Breakbeat - UK Bass,Progressive House,0.6548672566371682,-0.37776153753580743,0.13855285955068036,moderate
Dance - Pop,Downtempo,0.55,-0.2748465702234799,0.13757671488826007,weak
Melodic House & Techno,UK Garage - Bassline,0.6239316239316239,-0.3588427101741778,0.13254445687872307,moderate
Downtempo,Mainstage,0.5811965811965812,-0.33132261223304615,0.12493698448176754,weak
Deep House,Techno (Peak Time - Driving),0.5916666666666667,-0.3492907814282824,0.12118794261919213,weak
Deep House,Hard Techno,0.6271186440677966,-0.3935642476409691,0.11677719821341376,moderate
Indie Dance,Trance (Main Floor),0.515625,-0.28479355504036374,0.11541572247981813,weak
Bass - Club,Progressive House,0.5241935483870968,-0.30370116830121097,0.1102461900429429,weak
Funky House,Psy-Trance,0.6666666666666666,-0.4601551955674186,0.10325573554962403,moderate
Jackin House,Psy-Trance,0.6166666666666667,-0.4107753831768015,0.10294564174493259,moderate
Downtempo,Hard Dance - Hardcore - Neo Rave,0.504,-0.2987399493336145,0.10263002533319276,weak
